タイトル,著者,出版社/出版年月日,amazon
A Student’s Guide to Bayesian Statistics,BenLambert,-,https://www.amazon.co.jp/dp/1473916364?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
"Atkinson & Hilgard's Introduction to Psychology, 16e",SusanNolen-Hoeksema,"センゲージ・ラーニング / 
          2014年4月6日発売",https://www.amazon.co.jp/dp/1408089025?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
AIに負けない子どもを育てる,新井紀子,"東洋経済新報社 / 
          2019年9月6日発売",https://www.amazon.co.jp/dp/4492762507?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
新しい高校生物の教科書―現代人のための高校理科 (ブルーバックス),栃内新,"講談社 / 
          2006年1月21日発売",https://www.amazon.co.jp/dp/4062575078?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
ベイズ統計で実践モデリング: 認知モデルのトレーニング,マイケル・D.リー,北大路書房 /             2017年9月28日発売,https://www.amazon.co.jp/dp/4762829978?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
ベイズモデリングの世界,,岩波書店 /             2018年1月18日発売,https://www.amazon.co.jp/dp/4000247980?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
"ベイズ統計モデリング: R,JAGS, Stanによるチュートリアル 原著第2版",John K.Kruschke,共立出版 /             2017年7月22日発売,https://www.amazon.co.jp/dp/4320113160?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
分布からはじめる確率・統計入門―実用のための直感的アプローチ,岩沢宏和,"東京図書 / 
          2016年10月10日発売",https://www.amazon.co.jp/dp/4489022522?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
地理空間データ分析 (Rで学ぶデータサイエンス 7),谷村晋,共立出版 /             2010年7月25日発売,https://www.amazon.co.jp/dp/432001927X?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
Computational Modeling in Cognition: Principles and Practice,SimonFarrell,"SAGE Publications, Inc / 
          2010年11月29日発売",https://www.amazon.co.jp/dp/1412970768?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
CD2枚付 はじめての新TOEICテスト 全パート単語対策 (はじめての新TOEICテストシリーズ),塚田幸光,"アスク / 
          2013年12月1日発売",https://www.amazon.co.jp/dp/4872178386?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
CD付 新形式対応 はじめての新TOEIC テスト 全パート総合対策 別冊「とらの巻」付 (はじめての新TOEICテストシリーズ),塚田幸光,"アスク / 
          2011年10月1日発売",https://www.amazon.co.jp/dp/4872177878?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
大学院入試の英文法,湯川彰浩,"秀和システム / 
          2017年3月21日発売",https://www.amazon.co.jp/dp/4798050296?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
エレガントなSciPy ―Pythonによる科学技術計算,Juan Nunez-Iglesias,"オライリージャパン / 
          2018年11月10日発売",https://www.amazon.co.jp/dp/4873118603?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
英語ライティングルールブック　第2版　正しく伝えるための文法・語法・句読法,デイヴィッド・セイン,"ディーエイチシー / 
          2011年8月5日発売",https://www.amazon.co.jp/dp/4887245165?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
ガウス過程と機械学習 (機械学習プロフェッショナルシリーズ),持橋大地,"講談社 / 
          2019年3月9日発売",https://www.amazon.co.jp/dp/4061529269?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
現場で使える! TensorFlow開発入門 Kerasによる深層学習モデル構築手法,太田満久,"翔泳社 / 
          2018年4月19日発売",https://www.amazon.co.jp/dp/4798154121?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
はじめての 統計データ分析 ―ベイズ的〈ポストp値時代〉の統計学―,豊田秀樹,朝倉書店 /             2016年6月2日発売,https://www.amazon.co.jp/dp/4254122144?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
はじめてのパターン認識,平井有三,"森北出版 / 
          2012年7月31日発売",https://www.amazon.co.jp/dp/4627849710?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
本当にわかりやすいすごく大切なことが書いてあるちょっと進んだ心に関わる統計研究法の本Ⅰ,吉田　寿夫,北大路書房,https://www.amazon.co.jp//dp/476283033X
医薬データ解析のためのベイズ統計学,EmmanuelLesaffre,共立出版 /             2016年2月25日発売,https://www.amazon.co.jp/dp/4320111141?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
イラストレクチャー認知神経科学―心理学と脳科学が解くこころの仕組み―,村上郁也,"オーム社 / 
          2010年2月24日発売",https://www.amazon.co.jp/dp/4274208222?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
意識に直接与えられたものについての試論 (ちくま学芸文庫),アンリ・ベルクソン,"筑摩書房 / 
          2002年6月10日発売",https://www.amazon.co.jp/dp/4480087052?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
実践 ベイズモデリング -解析技法と認知モデル-,豊田秀樹,朝倉書店 /             2017年1月25日発売,https://www.amazon.co.jp/dp/4254122209?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
常微分方程式,木村俊房（校閲）千葉克裕（訳）,共立出版/ 1970年10月10日,
改訂2版 RユーザのためのRStudio[実践]入門?tidyverseによるモダンな分析フローの世界,松村優哉,技術評論社 /             2021年6月3日発売,https://www.amazon.co.jp/dp/4297121700?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
行動分析学入門,杉山尚子,産業図書 /             1998年3月30日発売,https://www.amazon.co.jp/dp/4782890303?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
個人と集団のマルチレベル分析,清水裕士,ナカニシヤ出版 /             2014年10月1日発売,https://www.amazon.co.jp/dp/4779508770?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
基本統計学 第4版,宮川公男,"有斐閣 / 
          2015年3月30日発売",https://www.amazon.co.jp/dp/464116455X?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
感じる脳 情動と感情の脳科学 よみがえるスピノザ,アントニオ・R・ダマシオ,"ダイヤモンド社 / 
          2005年10月28日発売",https://www.amazon.co.jp/dp/4478860513?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
キャッチャー・イン・ザ・ライ (ペーパーバック・エディション),J.D.サリンジャー,"白水社 / 
          2006年4月1日発売",https://www.amazon.co.jp/dp/4560090009?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
行動分析学 (有斐閣アルマ > Specialized),坂上貴之,"有斐閣 / 
          2018年3月23日発売",https://www.amazon.co.jp/dp/4641221022?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
機械学習スタートアップシリーズ Pythonで学ぶ強化学習 入門から実践まで (KS情報科学専門書),久保隆宏,"講談社 / 
          2019年1月17日発売",https://www.amazon.co.jp/dp/4065142989?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
"機械学習のエッセンス -実装しながら学ぶPython,数学,アルゴリズム- (Machine Learning)",加藤公一,"SBクリエイティブ / 
          2018年9月21日発売",https://www.amazon.co.jp/dp/4797393963?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
Linux教科書 LPICレベル1 第5版,中島能和,"翔泳社 / 
          2012年9月19日発売",https://www.amazon.co.jp/dp/4798127922?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
LaTeX2E 標準コマンド ポケットリファレンス (POCKET REFERENCE),本田知亮,"技術評論社 / 
          2005年6月25日発売",https://www.amazon.co.jp/dp/4774124230?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
みんなのR 第2版,Jared P. Lander,マイナビ出版 /             2018年12月28日発売,https://www.amazon.co.jp/dp/4839962154?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
みえる人体―構造・機能・病態,Steve Parker,"南江堂 / 
          2009年10月15日発売",https://www.amazon.co.jp/dp/4524250719?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
MATLABプログラミング入門,上坂吉則,"牧野書店 / 
          2011年5月1日発売",https://www.amazon.co.jp/dp/4434155911?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
前処理大全[データ分析のためのSQL/R/Python実践テクニック],本橋智光,"技術評論社 / 
          2018年4月13日発売",https://www.amazon.co.jp/dp/4774196479?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
入門確率過程,松原望,"東京図書 / 
          2003年11月1日発売",https://www.amazon.co.jp/dp/4489006594?tag=booklogjp-default-22&linkCode=ogi&th=1&psc=1
