みんなのR 第2版,マイナビ出版 /             2018年12月28日発売,Jared P. Lander
Rで楽しむ統計 (Wonderful R 1),共立出版 /             2016年9月8日発売,奥村晴彦
RとShinyで作るWebアプリケーション,シーアンドアール研究所 /             2018年11月7日発売,梅津雄一
R初心者のためのABC,シュプリンガー・ジャパン /             2010年12月22日発売,A.ジュール
Rで楽しむベイズ統計入門[しくみから理解するベイズ推定の基礎] (Data Science Library),技術評論社 /             2018年1月16日発売,奥村晴彦
Rによる心理データ解析,ナカニシヤ出版 /             2015年9月10日発売,山田剛史
Rでらくらく心理統計 RStudio徹底活用 (KS心理学専門書),講談社 /             2019年1月25日発売,小杉考司
Rによるやさしい統計学,オーム社 /             2008年1月25日発売,山田剛史
改訂2版 RユーザのためのRStudio[実践]入門?tidyverseによるモダンな分析フローの世界,技術評論社 /             2021年6月3日発売,松村優哉
再現可能性のすゝめ (Wonderful R 3),共立出版 /             2018年5月9日発売,高橋康介
ベイズ統計で実践モデリング: 認知モデルのトレーニング,北大路書房 /             2017年9月28日発売,マイケル・D.リー
実践 ベイズモデリング -解析技法と認知モデル-,朝倉書店 /             2017年1月25日発売,豊田秀樹
はじめての 統計データ分析 ―ベイズ的〈ポストp値時代〉の統計学―,朝倉書店 /             2016年6月2日発売,豊田秀樹
A Student’s Guide to Bayesian Statistics,-,BenLambert
医薬データ解析のためのベイズ統計学,共立出版 /             2016年2月25日発売,EmmanuelLesaffre
たのしいベイズモデリング: 事例で拓く研究のフロンティア,北大路書房 /             2018年10月4日発売,豊田秀樹
ベイズモデリングの世界,岩波書店 /             2018年1月18日発売,伊庭　幸人
OD>ペイズ統計入門,東京大学出版会 /             2011年10月31日発売,繁桝算男
社会科学のための ベイズ統計モデリング (統計ライブラリー　),朝倉書店 /             2019年12月1日発売,浜田宏
"ベイズ統計モデリング: R,JAGS, Stanによるチュートリアル 原著第2版",共立出版 /             2017年7月22日発売,John K.Kruschke
行動分析学入門,産業図書 /             1998年3月30日発売,杉山尚子
個人と集団のマルチレベル分析,ナカニシヤ出版 /             2014年10月1日発売,清水裕士
地理空間データ分析 (Rで学ぶデータサイエンス 7),共立出版 /             2010年7月25日発売,谷村晋
